duration,pdays,previous,poutcome,emp.var.rate,euribor3m,nr.employed
513.0,0.0,0.0,0.0,1.4,4.959,5228.1
106.0,0.0,0.0,0.0,-0.1,4.021,5195.8
40.0,0.0,0.0,0.0,-0.1,4.191,5195.8
73.0,0.0,0.0,0.0,1.4,4.961,5228.1
312.0,0.0,0.0,0.0,-1.8,1.435,5099.1
137.0,0.0,0.0,0.0,1.1,4.857,5191.0
130.0,0.0,0.0,0.0,1.4,4.963,5228.1
200.0,0.0,0.0,0.0,1.1,4.857,5191.0
124.0,0.0,0.0,0.0,1.1,4.858,5191.0
69.0,0.0,0.0,0.0,-0.1,4.076,5195.8
113.0,0.0,0.0,0.0,-1.8,1.25,5099.1
200.0,0.0,0.0,0.0,1.1,4.86,5191.0
412.0,0.0,0.0,0.0,1.1,4.857,5191.0
604.0,0.0,0.0,0.0,-2.9,1.268,5076.2
433.0,0.0,0.0,0.0,-1.8,1.266,5099.1
119.0,0.0,0.0,0.0,1.1,4.864,5191.0
345.0,0.0,0.0,0.0,-3.4,0.781,5017.5
304.0,3.0,1.0,2.0,-2.9,1.268,5076.2
156.0,0.0,0.0,0.0,1.4,4.966,5228.1
511.0,0.0,0.0,0.0,1.4,4.964,5228.1
353.0,0.0,0.0,0.0,1.1,4.856,5191.0
117.0,0.0,0.0,0.0,-1.8,1.406,5099.1
122.0,0.0,0.0,0.0,1.4,4.968,5228.1
156.0,0.0,0.0,0.0,1.4,4.964,5228.1
79.0,0.0,0.0,0.0,-1.8,1.41,5099.1
420.0,0.0,0.0,0.0,1.4,4.962,5228.1
330.0,1.0,1.0,2.0,-1.1,1.025,4963.6
123.0,0.0,0.0,0.0,1.1,4.857,5191.0
419.0,0.0,0.0,0.0,1.4,4.963,5228.1
302.0,7.0,1.0,2.0,-1.8,1.281,5099.1
691.0,15.0,4.0,1.0,-1.1,0.959,4963.6
45.0,0.0,0.0,0.0,1.4,4.957,5228.1
75.0,0.0,0.0,0.0,1.4,4.961,5228.1
85.0,0.0,0.0,0.0,1.4,4.963,5228.1
472.0,0.0,1.0,1.0,-1.8,1.291,5099.1
178.0,0.0,0.0,0.0,1.1,4.856,5191.0
247.0,0.0,0.0,0.0,1.1,4.856,5191.0
110.0,0.0,0.0,0.0,-1.8,0.682,5008.7
291.0,0.0,0.0,0.0,-1.8,0.692,5008.7
378.0,0.0,0.0,0.0,-1.8,1.344,5099.1
135.0,0.0,0.0,0.0,-0.1,4.12,5195.8
239.0,0.0,0.0,0.0,1.4,4.964,5228.1
155.0,0.0,0.0,0.0,1.4,4.964,5228.1
317.0,1.0,3.0,2.0,-1.8,0.682,5008.7
123.0,0.0,0.0,0.0,1.4,4.958,5228.1
448.0,0.0,0.0,0.0,1.4,4.96,5228.1
86.0,0.0,0.0,0.0,-1.8,1.344,5099.1
122.0,0.0,0.0,0.0,1.1,4.855,5191.0
182.0,0.0,1.0,1.0,-1.8,1.266,5099.1
126.0,0.0,0.0,0.0,1.4,4.962,5228.1
215.0,0.0,0.0,0.0,-2.9,1.266,5076.2
399.0,0.0,0.0,0.0,1.1,4.86,5191.0
290.0,0.0,0.0,0.0,1.4,4.962,5228.1
172.0,0.0,0.0,0.0,-1.8,1.334,5099.1
86.0,0.0,0.0,0.0,1.4,4.963,5228.1
667.0,0.0,0.0,0.0,1.4,4.965,5228.1
225.0,0.0,0.0,0.0,1.4,4.958,5228.1
146.0,0.0,0.0,0.0,-3.4,0.743,5017.5
176.0,0.0,0.0,0.0,-1.8,0.642,5008.7
216.0,0.0,0.0,0.0,-2.9,1.26,5076.2
61.0,0.0,0.0,0.0,1.4,4.864,5228.1
121.0,0.0,0.0,0.0,1.4,4.864,5228.1
195.0,0.0,0.0,0.0,1.1,4.857,5191.0
134.0,0.0,0.0,0.0,1.4,4.965,5228.1
70.0,0.0,0.0,0.0,1.4,4.964,5228.1
448.0,0.0,0.0,0.0,1.4,4.962,5228.1
88.0,0.0,0.0,0.0,1.4,4.964,5228.1
972.0,0.0,0.0,0.0,-0.1,4.076,5195.8
242.0,0.0,0.0,0.0,1.4,4.963,5228.1
89.0,0.0,0.0,0.0,-1.8,1.313,5099.1
152.0,0.0,0.0,0.0,-1.8,1.365,5099.1
549.0,7.0,1.0,2.0,-1.8,1.291,5099.1
298.0,0.0,0.0,0.0,-1.8,1.344,5099.1
215.0,0.0,0.0,0.0,1.4,4.865,5228.1
83.0,0.0,0.0,0.0,1.4,4.963,5228.1
150.0,0.0,0.0,0.0,-1.8,1.405,5099.1
47.0,0.0,0.0,0.0,1.4,4.866,5228.1
136.0,0.0,0.0,0.0,1.1,4.855,5191.0
136.0,0.0,0.0,0.0,1.4,4.964,5228.1
29.0,0.0,0.0,0.0,1.4,4.967,5228.1
163.0,0.0,0.0,0.0,1.4,4.965,5228.1
45.0,0.0,0.0,0.0,1.4,4.955,5228.1
94.0,0.0,0.0,0.0,1.1,4.856,5191.0
67.0,0.0,0.0,0.0,1.4,4.965,5228.1
166.0,0.0,1.0,1.0,-1.8,1.291,5099.1
226.0,0.0,0.0,0.0,1.4,4.96,5228.1
812.0,0.0,0.0,0.0,1.1,4.857,5191.0
117.0,0.0,0.0,0.0,1.4,4.955,5228.1
133.0,0.0,0.0,0.0,1.1,4.857,5191.0
328.0,0.0,0.0,0.0,-0.1,4.12,5195.8
216.0,0.0,0.0,0.0,1.4,4.961,5228.1
656.0,0.0,0.0,0.0,-1.8,1.313,5099.1
375.0,0.0,0.0,0.0,1.4,4.959,5228.1
132.0,0.0,1.0,1.0,-1.8,1.266,5099.1
104.0,0.0,1.0,1.0,-0.1,4.021,5195.8
125.0,0.0,0.0,0.0,1.1,4.857,5191.0
144.0,0.0,0.0,0.0,1.4,4.962,5228.1
105.0,0.0,0.0,0.0,1.1,4.855,5191.0
470.0,0.0,0.0,0.0,1.1,4.857,5191.0
89.0,0.0,1.0,1.0,-1.8,1.27,5099.1
238.0,0.0,0.0,0.0,-2.9,1.215,5076.2
479.0,0.0,0.0,0.0,1.4,4.865,5228.1
400.0,0.0,0.0,0.0,-1.8,1.405,5099.1
37.0,0.0,0.0,0.0,-0.1,4.076,5195.8
599.0,0.0,0.0,0.0,1.4,4.961,5228.1
199.0,0.0,0.0,0.0,1.4,4.962,5228.1
900.0,0.0,0.0,0.0,1.1,4.86,5191.0
172.0,0.0,1.0,1.0,-2.9,1.262,5076.2
117.0,0.0,0.0,0.0,1.4,4.964,5228.1
221.0,0.0,0.0,0.0,1.4,4.96,5228.1
49.0,0.0,0.0,0.0,1.4,4.959,5228.1
817.0,0.0,0.0,0.0,1.4,4.866,5228.1
196.0,0.0,0.0,0.0,1.4,4.968,5228.1
89.0,0.0,0.0,0.0,1.1,4.859,5191.0
187.0,0.0,1.0,1.0,-1.8,1.334,5099.1
31.0,0.0,0.0,0.0,1.4,4.963,5228.1
161.0,0.0,0.0,0.0,1.4,4.966,5228.1
438.0,0.0,0.0,0.0,1.4,4.962,5228.1
264.0,0.0,0.0,0.0,1.1,4.857,5191.0
208.0,0.0,1.0,1.0,-1.8,1.327,5099.1
241.0,0.0,0.0,0.0,1.4,4.968,5228.1
1692.0,0.0,0.0,0.0,1.1,4.855,5191.0
155.0,0.0,0.0,0.0,1.1,4.856,5191.0
873.0,0.0,0.0,0.0,1.4,4.962,5228.1
368.0,0.0,0.0,0.0,-1.8,1.365,5099.1
729.0,0.0,0.0,0.0,1.4,4.963,5228.1
98.0,0.0,0.0,0.0,-1.8,1.344,5099.1
102.0,0.0,0.0,0.0,1.1,4.86,5191.0
173.0,0.0,0.0,0.0,1.1,4.858,5191.0
212.0,0.0,0.0,0.0,1.1,4.857,5191.0
157.0,0.0,1.0,1.0,-1.8,1.334,5099.1
108.0,0.0,0.0,0.0,1.4,4.961,5228.1
784.0,0.0,0.0,0.0,1.1,4.859,5191.0
684.0,0.0,0.0,0.0,1.4,4.957,5228.1
638.0,0.0,0.0,0.0,-1.8,1.244,5099.1
434.0,0.0,0.0,0.0,1.1,4.857,5191.0
96.0,0.0,0.0,0.0,1.1,4.856,5191.0
89.0,0.0,1.0,1.0,-0.1,4.12,5195.8
86.0,0.0,0.0,0.0,1.4,4.962,5228.1
350.0,0.0,1.0,1.0,-1.8,1.334,5099.1
266.0,0.0,0.0,0.0,1.4,4.963,5228.1
144.0,0.0,1.0,1.0,-1.8,1.25,5099.1
173.0,0.0,0.0,0.0,-1.8,0.644,5008.7
100.0,0.0,1.0,1.0,-1.8,1.266,5099.1
738.0,0.0,0.0,0.0,-1.8,1.405,5099.1
347.0,0.0,1.0,1.0,-1.8,1.299,5099.1
68.0,0.0,0.0,0.0,1.1,4.856,5191.0
126.0,0.0,0.0,0.0,1.4,4.961,5228.1
195.0,0.0,0.0,0.0,1.4,4.964,5228.1
22.0,0.0,0.0,0.0,1.4,4.959,5228.1
170.0,0.0,0.0,0.0,1.4,4.864,5228.1
506.0,0.0,0.0,0.0,-2.9,0.914,5076.2
118.0,6.0,2.0,2.0,-1.7,0.9,4991.6
120.0,0.0,0.0,0.0,1.1,4.856,5191.0
582.0,0.0,0.0,0.0,1.4,4.958,5228.1
126.0,0.0,0.0,0.0,1.4,4.962,5228.1
213.0,0.0,0.0,0.0,1.1,4.86,5191.0
386.0,0.0,0.0,0.0,-1.8,1.266,5099.1
390.0,1.0,2.0,2.0,-1.7,0.846,4991.6
151.0,0.0,0.0,0.0,1.4,4.963,5228.1
107.0,0.0,1.0,1.0,-1.8,1.405,5099.1
204.0,0.0,0.0,0.0,1.4,4.959,5228.1
121.0,0.0,0.0,0.0,1.4,4.962,5228.1
52.0,0.0,0.0,0.0,1.4,4.958,5228.1
130.0,0.0,0.0,0.0,-0.1,4.12,5195.8
214.0,0.0,2.0,1.0,-1.7,0.81,4991.6
105.0,0.0,1.0,1.0,-0.1,4.12,5195.8
506.0,0.0,0.0,0.0,-1.8,1.266,5099.1
33.0,0.0,0.0,0.0,-1.8,1.244,5099.1
808.0,13.0,2.0,1.0,-1.1,0.877,4963.6
212.0,3.0,2.0,2.0,-1.7,0.797,4991.6
85.0,0.0,0.0,0.0,1.1,4.857,5191.0
215.0,0.0,1.0,1.0,-2.9,0.859,5076.2
250.0,0.0,0.0,0.0,1.4,4.962,5228.1
195.0,0.0,1.0,1.0,-1.8,1.25,5099.1
329.0,0.0,0.0,0.0,1.1,4.858,5191.0
408.0,0.0,0.0,0.0,1.1,4.857,5191.0
203.0,1.0,2.0,2.0,-1.1,0.982,4963.6
239.0,0.0,0.0,0.0,1.4,4.968,5228.1
154.0,0.0,0.0,0.0,-2.9,0.829,5076.2
469.0,0.0,0.0,0.0,1.1,4.857,5191.0
352.0,0.0,0.0,0.0,-0.1,4.076,5195.8
42.0,0.0,0.0,0.0,-0.1,4.021,5195.8
70.0,0.0,0.0,0.0,1.4,4.962,5228.1
159.0,0.0,0.0,0.0,1.1,4.857,5191.0
729.0,0.0,0.0,0.0,1.1,4.857,5191.0
130.0,0.0,0.0,0.0,-3.4,0.74,5017.5
59.0,0.0,0.0,0.0,-1.8,1.445,5099.1
113.0,0.0,0.0,0.0,1.4,4.957,5228.1
164.0,0.0,0.0,0.0,1.4,4.957,5228.1
369.0,0.0,0.0,0.0,-1.8,1.327,5099.1
371.0,0.0,1.0,1.0,-1.8,1.299,5099.1
178.0,0.0,0.0,0.0,1.1,4.857,5191.0
81.0,0.0,0.0,0.0,-0.1,4.191,5195.8
98.0,0.0,1.0,1.0,-1.8,1.244,5099.1
196.0,0.0,0.0,0.0,1.4,4.965,5228.1
747.0,0.0,0.0,0.0,1.1,4.859,5191.0
172.0,0.0,0.0,0.0,1.4,4.963,5228.1
305.0,0.0,0.0,0.0,1.1,4.857,5191.0
766.0,0.0,0.0,0.0,1.4,4.968,5228.1
579.0,0.0,0.0,0.0,-2.9,1.266,5076.2
200.0,0.0,0.0,0.0,-0.1,4.076,5195.8
90.0,0.0,0.0,0.0,-1.8,1.483,5099.1
91.0,3.0,1.0,2.0,-3.4,0.77,5017.5
212.0,0.0,0.0,0.0,-1.8,1.266,5099.1
107.0,12.0,3.0,2.0,-2.9,0.884,5076.2
390.0,0.0,0.0,0.0,1.1,4.864,5191.0
179.0,0.0,0.0,0.0,1.4,4.962,5228.1
369.0,0.0,0.0,0.0,1.1,4.856,5191.0
628.0,0.0,0.0,0.0,1.4,4.958,5228.1
81.0,0.0,0.0,0.0,1.4,4.968,5228.1
262.0,0.0,0.0,0.0,-0.1,4.076,5195.8
268.0,0.0,0.0,0.0,1.4,4.962,5228.1
160.0,0.0,0.0,0.0,-1.8,1.405,5099.1
168.0,0.0,0.0,0.0,1.4,4.957,5228.1
84.0,0.0,0.0,0.0,-1.8,1.344,5099.1
507.0,0.0,0.0,0.0,-0.1,4.191,5195.8
91.0,0.0,0.0,0.0,1.1,4.856,5191.0
139.0,0.0,0.0,0.0,1.4,4.966,5228.1
35.0,0.0,0.0,0.0,1.4,4.962,5228.1
151.0,0.0,0.0,0.0,-0.1,4.076,5195.8
54.0,0.0,2.0,1.0,-1.8,1.334,5099.1
144.0,0.0,0.0,0.0,1.1,4.86,5191.0
61.0,0.0,0.0,0.0,1.1,4.857,5191.0
109.0,0.0,0.0,0.0,-1.8,1.405,5099.1
463.0,0.0,0.0,0.0,-1.8,1.453,5099.1
252.0,0.0,0.0,0.0,1.4,4.967,5228.1
205.0,0.0,1.0,1.0,-1.8,1.405,5099.1
64.0,0.0,0.0,0.0,-1.8,1.405,5099.1
8.0,0.0,0.0,0.0,1.4,4.959,5228.1
420.0,0.0,0.0,0.0,1.4,4.866,5228.1
252.0,0.0,0.0,0.0,-0.1,4.076,5195.8
88.0,0.0,0.0,0.0,1.1,4.857,5191.0
65.0,0.0,0.0,0.0,1.4,4.864,5228.1
96.0,0.0,0.0,0.0,-1.8,1.299,5099.1
44.0,0.0,0.0,0.0,1.4,4.961,5228.1
111.0,0.0,0.0,0.0,1.4,4.964,5228.1
451.0,0.0,1.0,1.0,-1.8,1.291,5099.1
182.0,0.0,0.0,0.0,1.4,4.97,5228.1
665.0,0.0,0.0,0.0,1.1,4.855,5191.0
148.0,0.0,0.0,0.0,-3.4,0.741,5017.5
42.0,0.0,0.0,0.0,1.1,4.86,5191.0
102.0,0.0,0.0,0.0,1.1,4.857,5191.0
57.0,0.0,0.0,0.0,1.4,4.96,5228.1
126.0,0.0,0.0,0.0,1.4,4.865,5228.1
113.0,0.0,0.0,0.0,-1.8,1.266,5099.1
88.0,0.0,0.0,0.0,1.1,4.858,5191.0
108.0,0.0,0.0,0.0,1.4,4.968,5228.1
109.0,0.0,0.0,0.0,-3.4,0.739,5017.5
119.0,0.0,0.0,0.0,1.4,4.961,5228.1
36.0,0.0,0.0,0.0,1.4,4.967,5228.1
799.0,0.0,0.0,0.0,1.4,4.963,5228.1
80.0,0.0,1.0,1.0,-1.8,1.291,5099.1
392.0,3.0,2.0,2.0,-1.8,1.354,5099.1
114.0,0.0,0.0,0.0,-1.8,1.291,5099.1
25.0,0.0,0.0,0.0,-1.8,1.281,5099.1
194.0,0.0,0.0,0.0,-0.1,4.12,5195.8
123.0,0.0,0.0,0.0,-2.9,1.029,5076.2
188.0,0.0,0.0,0.0,1.4,4.961,5228.1
58.0,0.0,0.0,0.0,1.4,4.964,5228.1
365.0,0.0,0.0,0.0,-1.8,1.264,5099.1
336.0,0.0,0.0,0.0,1.1,4.857,5191.0
236.0,0.0,0.0,0.0,-1.8,1.405,5099.1
81.0,0.0,0.0,0.0,-1.8,1.392,5099.1
215.0,0.0,0.0,0.0,-0.1,4.153,5195.8
312.0,0.0,0.0,0.0,-1.8,0.685,5008.7
130.0,0.0,0.0,0.0,1.1,4.856,5191.0
156.0,0.0,1.0,1.0,-1.8,1.405,5099.1
91.0,0.0,1.0,1.0,-1.8,1.327,5099.1
131.0,0.0,0.0,0.0,1.1,4.855,5191.0
221.0,0.0,0.0,0.0,-1.8,1.25,5099.1
169.0,0.0,0.0,0.0,1.4,4.961,5228.1
389.0,0.0,1.0,1.0,-0.1,4.153,5195.8
8.0,0.0,0.0,0.0,-1.8,1.25,5099.1
242.0,0.0,0.0,0.0,-1.8,1.25,5099.1
124.0,0.0,0.0,0.0,1.4,4.962,5228.1
210.0,0.0,0.0,0.0,1.1,4.857,5191.0
1071.0,0.0,0.0,0.0,1.4,4.962,5228.1
51.0,0.0,0.0,0.0,-0.1,4.153,5195.8
53.0,0.0,0.0,0.0,-0.1,4.076,5195.8
437.0,0.0,1.0,1.0,-1.8,1.327,5099.1
224.0,0.0,1.0,1.0,-1.1,0.879,4963.6
254.0,0.0,0.0,0.0,1.4,4.962,5228.1
13.0,0.0,0.0,0.0,1.1,4.858,5191.0
207.0,0.0,0.0,0.0,1.1,4.86,5191.0
189.0,0.0,0.0,0.0,1.1,4.857,5191.0
207.0,0.0,0.0,0.0,1.4,4.961,5228.1
95.0,0.0,0.0,0.0,1.4,4.967,5228.1
153.0,0.0,0.0,0.0,1.1,4.859,5191.0
183.0,0.0,0.0,0.0,1.4,4.963,5228.1
164.0,0.0,0.0,0.0,-3.4,0.722,5017.5
68.0,0.0,1.0,1.0,-1.8,1.291,5099.1
120.0,0.0,1.0,1.0,-1.8,1.445,5099.1
169.0,0.0,1.0,1.0,-1.8,1.266,5099.1
156.0,0.0,0.0,0.0,1.1,4.855,5191.0
642.0,0.0,0.0,0.0,-1.8,1.25,5099.1
185.0,0.0,0.0,0.0,1.1,4.855,5191.0
99.0,0.0,0.0,0.0,1.1,4.855,5191.0
95.0,0.0,0.0,0.0,1.1,4.857,5191.0
188.0,0.0,0.0,0.0,1.4,4.966,5228.1
172.0,0.0,0.0,0.0,1.4,4.963,5228.1
65.0,0.0,0.0,0.0,-3.4,0.755,5017.5
124.0,0.0,1.0,1.0,-0.1,4.191,5195.8
208.0,0.0,0.0,0.0,1.1,4.857,5191.0
191.0,0.0,0.0,0.0,-1.8,1.406,5099.1
132.0,0.0,0.0,0.0,-2.9,0.908,5076.2
59.0,0.0,0.0,0.0,-0.1,4.12,5195.8
81.0,0.0,0.0,0.0,1.4,4.864,5228.1
205.0,0.0,0.0,0.0,1.1,4.855,5191.0
185.0,0.0,1.0,1.0,-1.8,1.344,5099.1
177.0,0.0,0.0,0.0,1.4,4.961,5228.1
258.0,0.0,0.0,0.0,-2.9,0.908,5076.2
86.0,0.0,0.0,0.0,1.1,4.857,5191.0
264.0,0.0,0.0,0.0,1.4,4.963,5228.1
894.0,0.0,0.0,0.0,1.1,4.859,5191.0
245.0,0.0,0.0,0.0,1.1,4.856,5191.0
374.0,0.0,1.0,1.0,-1.8,1.291,5099.1
46.0,0.0,0.0,0.0,1.4,4.968,5228.1
954.0,0.0,0.0,0.0,-1.8,1.334,5099.1
354.0,0.0,0.0,0.0,1.1,4.858,5191.0
17.0,0.0,0.0,0.0,1.4,4.962,5228.1
109.0,0.0,0.0,0.0,1.1,4.86,5191.0
216.0,0.0,0.0,0.0,1.4,4.963,5228.1
114.0,0.0,0.0,0.0,1.4,4.961,5228.1
319.0,3.0,2.0,2.0,-2.9,0.873,5076.2
190.0,0.0,0.0,0.0,1.4,4.96,5228.1
164.0,0.0,0.0,0.0,-1.8,1.25,5099.1
243.0,0.0,0.0,0.0,-1.8,1.365,5099.1
193.0,0.0,0.0,0.0,1.4,4.963,5228.1
336.0,0.0,0.0,0.0,1.4,4.96,5228.1
241.0,0.0,1.0,1.0,-1.8,1.266,5099.1
263.0,1.0,2.0,2.0,-1.8,0.655,5008.7
184.0,0.0,0.0,0.0,1.4,4.959,5228.1
80.0,0.0,0.0,0.0,1.4,4.865,5228.1
352.0,0.0,0.0,0.0,1.1,4.855,5191.0
275.0,0.0,0.0,0.0,-1.8,1.291,5099.1
188.0,0.0,0.0,0.0,-1.8,1.27,5099.1
404.0,0.0,0.0,0.0,-1.8,1.281,5099.1
50.0,0.0,0.0,0.0,1.4,4.96,5228.1
73.0,0.0,0.0,0.0,-1.8,1.313,5099.1
191.0,0.0,0.0,0.0,-1.8,1.313,5099.1
223.0,0.0,0.0,0.0,-1.8,1.266,5099.1
333.0,0.0,0.0,0.0,1.4,4.959,5228.1
148.0,0.0,0.0,0.0,1.4,4.864,5228.1
65.0,0.0,0.0,0.0,1.1,4.857,5191.0
214.0,0.0,0.0,0.0,1.1,4.856,5191.0
235.0,0.0,0.0,0.0,-3.4,0.715,5017.5
222.0,0.0,0.0,0.0,-0.1,4.021,5195.8
647.0,0.0,1.0,1.0,-1.8,1.327,5099.1
95.0,0.0,0.0,0.0,-1.8,1.27,5099.1
117.0,0.0,0.0,0.0,1.4,4.968,5228.1
77.0,0.0,0.0,0.0,1.1,4.859,5191.0
44.0,0.0,0.0,0.0,1.1,4.856,5191.0
177.0,0.0,0.0,0.0,-1.8,1.334,5099.1
212.0,0.0,2.0,1.0,-1.1,1.05,4963.6
273.0,0.0,0.0,0.0,1.4,4.964,5228.1
606.0,0.0,0.0,0.0,-1.8,1.334,5099.1
83.0,0.0,0.0,0.0,1.1,4.858,5191.0
120.0,0.0,0.0,0.0,1.4,4.963,5228.1
217.0,0.0,0.0,0.0,1.4,4.965,5228.1
422.0,0.0,0.0,0.0,-1.8,1.423,5099.1
133.0,0.0,2.0,1.0,-3.4,0.715,5017.5
402.0,0.0,0.0,0.0,1.1,4.857,5191.0
181.0,0.0,0.0,0.0,-1.8,1.25,5099.1
83.0,0.0,1.0,1.0,-1.8,1.344,5099.1
210.0,0.0,0.0,0.0,1.1,4.857,5191.0
42.0,0.0,0.0,0.0,1.1,4.86,5191.0
16.0,0.0,0.0,0.0,-1.8,1.281,5099.1
318.0,0.0,0.0,0.0,-1.8,0.684,5008.7
157.0,0.0,0.0,0.0,-0.1,4.153,5195.8
67.0,0.0,0.0,0.0,1.4,4.961,5228.1
100.0,0.0,0.0,0.0,1.1,4.858,5191.0
350.0,0.0,0.0,0.0,1.1,4.858,5191.0
231.0,0.0,0.0,0.0,-0.1,4.12,5195.8
518.0,0.0,0.0,0.0,-1.8,1.405,5099.1
185.0,0.0,0.0,0.0,1.4,4.96,5228.1
43.0,0.0,0.0,0.0,1.4,4.959,5228.1
207.0,0.0,0.0,0.0,1.4,4.967,5228.1
164.0,0.0,0.0,0.0,1.4,4.864,5228.1
413.0,0.0,0.0,0.0,1.1,4.86,5191.0
72.0,0.0,0.0,0.0,1.4,4.962,5228.1
1721.0,0.0,0.0,0.0,1.4,4.968,5228.1
389.0,0.0,1.0,1.0,-1.8,1.415,5099.1
170.0,0.0,0.0,0.0,1.4,4.963,5228.1
129.0,0.0,0.0,0.0,1.1,4.864,5191.0
296.0,0.0,0.0,0.0,1.1,4.857,5191.0
104.0,0.0,0.0,0.0,1.1,4.86,5191.0
262.0,0.0,0.0,0.0,-1.8,1.291,5099.1
107.0,0.0,0.0,0.0,1.1,4.855,5191.0
39.0,0.0,0.0,0.0,1.1,4.855,5191.0
89.0,0.0,0.0,0.0,-0.1,4.191,5195.8
192.0,0.0,1.0,1.0,-1.8,0.677,5008.7
28.0,0.0,0.0,0.0,1.4,4.958,5228.1
118.0,0.0,0.0,0.0,1.1,4.856,5191.0
160.0,0.0,0.0,0.0,-1.8,1.334,5099.1
427.0,0.0,0.0,0.0,1.1,4.859,5191.0
354.0,0.0,0.0,0.0,1.4,4.865,5228.1
895.0,0.0,0.0,0.0,-1.8,1.453,5099.1
48.0,0.0,0.0,0.0,-1.8,1.479,5099.1
790.0,0.0,0.0,0.0,-0.1,4.076,5195.8
100.0,0.0,0.0,0.0,1.1,4.856,5191.0
97.0,0.0,0.0,0.0,1.4,4.961,5228.1
92.0,0.0,0.0,0.0,1.4,4.963,5228.1
126.0,0.0,0.0,0.0,1.1,4.864,5191.0
94.0,0.0,0.0,0.0,1.4,4.964,5228.1
1435.0,0.0,1.0,1.0,-0.1,4.12,5195.8
58.0,0.0,0.0,0.0,-1.8,1.244,5099.1
480.0,0.0,0.0,0.0,1.1,4.855,5191.0
64.0,0.0,0.0,0.0,1.4,4.964,5228.1
179.0,3.0,1.0,2.0,-2.9,1.262,5076.2
224.0,0.0,0.0,0.0,1.4,4.962,5228.1
128.0,0.0,0.0,0.0,-1.8,1.405,5099.1
405.0,0.0,0.0,0.0,-1.8,1.405,5099.1
298.0,0.0,0.0,0.0,1.1,4.855,5191.0
65.0,0.0,0.0,0.0,1.4,4.963,5228.1
232.0,0.0,0.0,0.0,1.1,4.857,5191.0
109.0,0.0,0.0,0.0,1.4,4.958,5228.1
562.0,0.0,0.0,0.0,-1.7,0.827,4991.6
81.0,0.0,0.0,0.0,-1.8,1.614,5099.1
493.0,0.0,0.0,0.0,1.4,4.959,5228.1
