age,job,marital,education,default,housing,loan,month,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
57,6,0,1,0,1,0,0,129,2,0,1,1,-1.8,92.893,-46.2,1.313,5099.1
39,2,1,1,0,1,1,5,44,2,0,1,1,-0.1,93.2,-42.0,4.076,5195.8
38,4,0,6,0,0,0,0,125,2,0,0,0,-1.8,92.893,-46.2,1.344,5099.1
59,5,0,0,1,0,0,2,150,2,0,0,0,1.4,93.918,-42.7,4.959,5228.1
39,6,0,6,0,0,0,1,721,3,0,0,0,1.4,94.465,-41.8,4.96,5228.1
25,0,0,3,0,0,0,1,152,1,0,0,0,1.4,94.465,-41.8,4.967,5228.1
34,2,0,6,0,1,0,0,37,1,0,0,0,1.1,93.994,-36.4,4.859,5191.0
54,2,0,6,0,0,1,9,172,1,0,0,0,-3.4,92.379,-29.8,0.803,5017.5
43,3,0,0,1,0,0,1,349,1,0,0,0,1.4,94.465,-41.8,4.958,5228.1
24,1,1,1,0,1,0,2,57,2,0,0,0,1.4,93.918,-42.7,4.957,5228.1
36,8,0,3,0,1,1,0,731,1,0,0,0,-1.8,92.893,-46.2,1.344,5099.1
40,6,0,2,0,0,0,5,56,1,0,0,0,-0.1,93.2,-42.0,4.191,5195.8
86,5,1,3,1,0,0,1,955,1,0,0,0,-1.7,94.055,-39.8,0.767,4991.6
45,1,2,1,1,1,0,5,120,2,0,0,0,-0.1,93.2,-42.0,4.021,5195.8
36,10,0,6,0,0,0,0,410,4,0,0,0,-1.8,92.893,-46.2,1.354,5099.1
59,5,2,6,0,0,0,1,605,6,0,0,0,1.4,94.465,-41.8,4.865,5228.1
27,2,1,6,0,0,0,9,397,1,0,0,0,-3.4,92.379,-29.8,0.781,5017.5
51,5,2,0,0,1,1,5,94,1,0,0,0,-0.1,93.2,-42.0,4.191,5195.8
52,7,0,1,1,0,0,0,218,2,0,0,0,1.1,93.994,-36.4,4.86,5191.0
32,4,0,4,0,1,0,3,641,1,0,0,0,-2.9,92.201,-31.4,0.879,5076.2
34,6,2,5,0,1,0,0,200,3,0,1,1,-1.8,92.893,-46.2,1.25,5099.1
32,2,0,6,0,1,0,4,467,2,1,1,2,-3.4,92.431,-26.9,0.735,5017.5
38,1,0,3,0,2,2,1,48,1,0,0,0,1.4,94.465,-41.8,4.959,5228.1
31,1,1,1,0,0,0,8,160,1,0,0,0,-1.8,93.075,-47.1,1.405,5099.1
33,3,0,2,1,0,0,1,157,6,0,0,0,1.4,94.465,-41.8,4.959,5228.1
34,2,0,4,0,1,0,0,248,2,0,0,0,1.1,93.994,-36.4,4.856,5191.0
39,10,0,6,0,1,0,1,513,2,0,0,0,1.4,94.465,-41.8,4.959,5228.1
40,6,0,6,0,1,0,5,106,2,0,0,0,-0.1,93.2,-42.0,4.021,5195.8
57,5,0,0,1,0,0,5,40,1,0,0,0,-0.1,93.2,-42.0,4.191,5195.8
31,4,1,6,0,0,0,1,73,1,0,0,0,1.4,94.465,-41.8,4.961,5228.1
52,2,0,1,0,0,0,8,312,2,0,0,0,-1.8,93.075,-47.1,1.435,5099.1
56,4,0,0,0,1,0,0,137,1,0,0,0,1.1,93.994,-36.4,4.857,5191.0
24,2,0,5,0,1,1,2,130,5,0,0,0,1.4,93.918,-42.7,4.963,5228.1
45,2,0,2,1,1,0,0,200,4,0,0,0,1.1,93.994,-36.4,4.857,5191.0
29,4,0,4,0,1,0,0,124,42,0,0,0,1.1,93.994,-36.4,4.858,5191.0
43,7,1,6,0,1,1,5,69,3,0,0,0,-0.1,93.2,-42.0,4.076,5195.8
29,2,1,1,0,0,0,0,113,4,0,0,0,-1.8,92.893,-46.2,1.25,5099.1
37,1,0,1,0,0,0,0,200,3,0,0,0,1.1,93.994,-36.4,4.86,5191.0
41,4,0,4,0,0,0,0,412,1,0,0,0,1.1,93.994,-36.4,4.857,5191.0
37,11,1,5,0,0,1,1,604,1,0,0,0,-2.9,92.963,-40.8,1.268,5076.2
40,3,0,0,0,1,0,0,433,1,0,0,0,-1.8,92.893,-46.2,1.266,5099.1
51,2,0,6,1,1,0,0,119,2,0,0,0,1.1,93.994,-36.4,4.864,5191.0
27,2,1,6,0,1,1,9,345,1,0,0,0,-3.4,92.379,-29.8,0.781,5017.5
53,2,1,6,0,1,0,1,304,2,3,1,2,-2.9,92.963,-40.8,1.268,5076.2
29,2,1,6,1,1,0,3,156,1,0,0,0,1.4,93.444,-36.1,4.966,5228.1
59,6,0,6,0,0,0,3,511,3,0,0,0,1.4,93.444,-36.1,4.964,5228.1
48,6,0,6,0,1,0,0,353,3,0,0,0,1.1,93.994,-36.4,4.856,5191.0
38,4,0,4,0,1,1,8,117,1,0,0,0,-1.8,93.075,-47.1,1.406,5099.1
52,4,2,6,0,0,0,3,122,1,0,0,0,1.4,93.444,-36.1,4.968,5228.1
57,5,0,4,0,1,0,3,156,4,0,0,0,1.4,93.444,-36.1,4.964,5228.1
35,7,0,4,0,1,0,8,79,1,0,0,0,-1.8,93.075,-47.1,1.41,5099.1
51,6,0,6,0,1,0,2,420,1,0,0,0,1.4,93.918,-42.7,4.962,5228.1
29,2,1,1,0,0,0,4,330,2,1,1,2,-1.1,94.601,-49.5,1.025,4963.6
30,8,1,1,0,1,0,0,123,1,0,0,0,1.1,93.994,-36.4,4.857,5191.0
31,2,1,6,0,0,0,3,419,3,0,0,0,1.4,93.444,-36.1,4.963,5228.1
24,2,0,3,0,1,0,0,302,1,7,1,2,-1.8,92.893,-46.2,1.281,5099.1
32,4,0,4,0,0,0,4,691,2,15,4,1,-1.1,94.601,-49.5,0.959,4963.6
31,7,1,1,0,1,1,2,45,1,0,0,0,1.4,93.918,-42.7,4.957,5228.1
31,3,1,4,0,0,0,2,75,8,0,0,0,1.4,93.918,-42.7,4.961,5228.1
39,3,0,2,1,0,0,2,85,3,0,0,0,1.4,93.918,-42.7,4.963,5228.1
28,4,0,3,0,0,0,0,472,2,0,1,1,-1.8,92.893,-46.2,1.291,5099.1
43,2,2,3,0,2,2,0,178,2,0,0,0,1.1,93.994,-36.4,4.856,5191.0
44,3,0,3,0,1,1,0,247,3,0,0,0,1.1,93.994,-36.4,4.856,5191.0
60,5,0,4,0,1,0,0,110,2,0,0,0,-1.8,93.876,-40.0,0.682,5008.7
31,2,0,4,0,1,1,0,291,2,0,0,0,-1.8,93.876,-40.0,0.692,5008.7
37,1,0,1,0,0,0,0,378,3,0,0,0,-1.8,92.893,-46.2,1.344,5099.1
38,4,0,4,1,0,0,5,135,4,0,0,0,-0.1,93.2,-42.0,4.12,5195.8
45,1,0,1,0,0,0,3,239,2,0,0,0,1.4,93.444,-36.1,4.964,5228.1
33,4,0,4,0,0,0,3,155,5,0,0,0,1.4,93.444,-36.1,4.964,5228.1
48,7,0,4,0,0,0,0,317,1,1,3,2,-1.8,93.876,-40.0,0.682,5008.7
44,4,1,4,0,1,1,2,123,1,0,0,0,1.4,93.918,-42.7,4.958,5228.1
35,4,0,3,0,1,0,2,448,1,0,0,0,1.4,93.918,-42.7,4.96,5228.1
45,3,0,2,0,0,0,0,86,1,0,0,0,-1.8,92.893,-46.2,1.344,5099.1
44,3,1,3,1,0,0,0,122,2,0,0,0,1.1,93.994,-36.4,4.855,5191.0
46,1,0,1,0,1,0,0,182,1,0,1,1,-1.8,92.893,-46.2,1.266,5099.1
24,10,0,6,0,1,1,1,126,4,0,0,0,1.4,94.465,-41.8,4.962,5228.1
49,6,0,6,0,0,0,1,215,2,0,0,0,-2.9,92.963,-40.8,1.266,5076.2
30,3,1,1,0,1,0,0,399,1,0,0,0,1.1,93.994,-36.4,4.86,5191.0
20,1,1,1,0,1,0,1,290,2,0,0,0,1.4,94.465,-41.8,4.962,5228.1
46,6,0,6,1,1,1,0,172,4,0,0,0,-1.8,92.893,-46.2,1.334,5099.1
28,8,0,6,0,0,0,2,86,3,0,0,0,1.4,93.918,-42.7,4.963,5228.1
34,2,1,6,0,1,0,3,667,1,0,0,0,1.4,93.444,-36.1,4.965,5228.1
54,3,0,3,1,0,0,2,225,2,0,0,0,1.4,93.918,-42.7,4.958,5228.1
42,6,1,6,0,0,0,4,146,1,0,0,0,-3.4,92.431,-26.9,0.743,5017.5
63,4,0,1,0,0,0,8,176,3,0,0,0,-1.8,93.749,-34.6,0.642,5008.7
32,2,0,6,0,1,0,1,216,2,0,0,0,-2.9,92.963,-40.8,1.26,5076.2
40,4,0,4,0,0,0,1,61,2,0,0,0,1.4,94.465,-41.8,4.864,5228.1
34,6,0,6,0,0,0,1,121,2,0,0,0,1.4,94.465,-41.8,4.864,5228.1
40,4,0,0,0,0,1,0,195,1,0,0,0,1.1,93.994,-36.4,4.857,5191.0
47,3,0,0,0,0,0,3,134,5,0,0,0,1.4,93.444,-36.1,4.965,5228.1
44,10,0,1,0,0,0,3,70,1,0,0,0,1.4,93.444,-36.1,4.964,5228.1
22,3,0,3,0,1,0,2,448,1,0,0,0,1.4,93.918,-42.7,4.962,5228.1
31,4,0,6,0,2,2,3,88,2,0,0,0,1.4,93.444,-36.1,4.964,5228.1
38,6,1,3,1,1,0,5,972,2,0,0,0,-0.1,93.2,-42.0,4.076,5195.8
31,1,2,1,0,1,1,3,242,3,0,0,0,1.4,93.444,-36.1,4.963,5228.1
36,1,0,1,1,0,0,0,89,1,0,0,0,-1.8,92.893,-46.2,1.313,5099.1
53,6,2,6,0,0,0,8,152,1,0,0,0,-1.8,93.075,-47.1,1.365,5099.1
28,2,1,3,0,0,1,0,549,1,7,1,2,-1.8,92.893,-46.2,1.291,5099.1
45,4,2,6,1,1,0,0,298,1,0,0,0,-1.8,92.893,-46.2,1.344,5099.1
48,10,0,0,0,0,1,1,215,1,0,0,0,1.4,94.465,-41.8,4.865,5228.1
45,9,1,1,0,1,0,2,83,3,0,0,0,1.4,93.918,-42.7,4.963,5228.1
43,3,0,2,0,0,1,8,150,1,0,0,0,-1.8,93.075,-47.1,1.405,5099.1
31,3,0,3,0,0,0,1,47,1,0,0,0,1.4,94.465,-41.8,4.866,5228.1
36,3,1,0,0,0,0,0,136,1,0,0,0,1.1,93.994,-36.4,4.855,5191.0
31,0,0,2,0,0,0,3,136,1,0,0,0,1.4,93.444,-36.1,4.964,5228.1
42,4,1,4,1,0,0,1,29,4,0,0,0,1.4,94.465,-41.8,4.967,5228.1
59,5,0,0,1,1,0,3,163,1,0,0,0,1.4,93.444,-36.1,4.965,5228.1
60,5,2,0,1,1,0,1,45,2,0,0,0,1.4,94.465,-41.8,4.955,5228.1
43,8,1,4,1,1,1,0,94,1,0,0,0,1.1,93.994,-36.4,4.856,5191.0
44,3,0,2,0,0,0,3,67,2,0,0,0,1.4,93.444,-36.1,4.965,5228.1
34,2,0,1,0,0,0,0,166,5,0,1,1,-1.8,92.893,-46.2,1.291,5099.1
41,3,0,5,0,0,0,2,226,1,0,0,0,1.4,93.918,-42.7,4.96,5228.1
51,3,0,3,0,1,0,0,812,1,0,0,0,1.1,93.994,-36.4,4.857,5191.0
28,3,1,2,0,0,0,2,117,1,0,0,0,1.4,93.918,-42.7,4.955,5228.1
40,1,0,1,1,1,0,0,133,1,0,0,0,1.1,93.994,-36.4,4.857,5191.0
38,3,1,2,0,1,0,5,328,1,0,0,0,-0.1,93.2,-42.0,4.12,5195.8
49,2,0,1,1,1,0,1,216,4,0,0,0,1.4,94.465,-41.8,4.961,5228.1
33,3,0,3,0,1,0,0,656,1,0,0,0,-1.8,92.893,-46.2,1.313,5099.1
34,3,0,0,0,1,0,1,375,1,0,0,0,1.4,94.465,-41.8,4.959,5228.1
49,2,1,6,0,0,0,0,132,1,0,1,1,-1.8,92.893,-46.2,1.266,5099.1
29,1,1,1,0,1,0,5,104,1,0,1,1,-0.1,93.2,-42.0,4.021,5195.8
35,3,0,0,0,1,0,0,125,4,0,0,0,1.1,93.994,-36.4,4.857,5191.0
33,4,1,3,0,1,0,2,144,3,0,0,0,1.4,93.918,-42.7,4.962,5228.1
32,4,0,4,0,1,1,0,105,2,0,0,0,1.1,93.994,-36.4,4.855,5191.0
51,4,0,6,0,1,0,0,470,2,0,0,0,1.1,93.994,-36.4,4.857,5191.0
34,2,0,6,0,0,0,0,89,4,0,1,1,-1.8,92.893,-46.2,1.27,5099.1
41,4,2,6,0,0,0,1,238,1,0,0,0,-2.9,92.963,-40.8,1.215,5076.2
34,3,0,2,1,0,0,1,479,3,0,0,0,1.4,94.465,-41.8,4.865,5228.1
30,7,1,6,0,1,0,8,400,1,0,0,0,-1.8,93.075,-47.1,1.405,5099.1
31,3,0,0,0,0,0,5,37,2,0,0,0,-0.1,93.2,-42.0,4.076,5195.8
55,5,0,0,1,0,1,2,599,4,0,0,0,1.4,93.918,-42.7,4.961,5228.1
39,4,1,4,1,0,0,3,199,4,0,0,0,1.4,93.444,-36.1,4.962,5228.1
37,2,1,6,0,1,0,0,900,2,0,0,0,1.1,93.994,-36.4,4.86,5191.0
32,1,0,1,0,2,2,1,172,1,0,1,1,-2.9,92.963,-40.8,1.262,5076.2
39,2,0,6,1,1,0,3,117,4,0,0,0,1.4,93.444,-36.1,4.964,5228.1
37,1,0,1,0,0,0,2,221,2,0,0,0,1.4,93.918,-42.7,4.96,5228.1
55,4,0,6,0,1,0,2,49,1,0,0,0,1.4,93.918,-42.7,4.959,5228.1
31,4,1,6,1,1,0,1,817,2,0,0,0,1.4,94.465,-41.8,4.866,5228.1
50,4,0,1,0,1,0,2,196,2,0,0,0,1.4,93.918,-42.7,4.968,5228.1
31,2,1,6,0,0,0,0,89,2,0,0,0,1.1,93.994,-36.4,4.859,5191.0
36,10,0,6,0,1,0,0,187,1,0,1,1,-1.8,92.893,-46.2,1.334,5099.1
30,4,0,6,0,1,0,2,31,2,0,0,0,1.4,93.918,-42.7,4.963,5228.1
34,4,0,4,0,0,0,3,161,1,0,0,0,1.4,93.444,-36.1,4.966,5228.1
51,2,2,6,0,1,0,2,438,2,0,0,0,1.4,93.918,-42.7,4.962,5228.1
50,2,0,1,0,0,0,0,264,2,0,0,0,1.1,93.994,-36.4,4.857,5191.0
36,4,1,1,0,1,0,0,208,1,0,1,1,-1.8,92.893,-46.2,1.327,5099.1
60,6,0,4,1,1,0,2,241,4,0,0,0,1.4,93.918,-42.7,4.968,5228.1
32,2,0,6,0,0,1,0,1692,2,0,0,0,1.1,93.994,-36.4,4.855,5191.0
26,2,0,1,1,0,0,0,155,1,0,0,0,1.1,93.994,-36.4,4.856,5191.0
30,2,1,6,0,1,0,2,873,8,0,0,0,1.4,93.918,-42.7,4.962,5228.1
30,2,1,6,0,0,0,8,368,1,0,0,0,-1.8,93.075,-47.1,1.365,5099.1
47,3,0,0,0,1,0,3,729,4,0,0,0,1.4,93.444,-36.1,4.963,5228.1
41,3,0,3,0,1,0,0,98,1,0,0,0,-1.8,92.893,-46.2,1.344,5099.1
31,2,0,6,0,1,0,0,102,4,0,0,0,1.1,93.994,-36.4,4.86,5191.0
48,3,0,3,1,1,0,0,173,6,0,0,0,1.1,93.994,-36.4,4.858,5191.0
31,3,0,2,0,1,0,0,212,2,0,0,0,1.1,93.994,-36.4,4.857,5191.0
34,3,0,3,0,1,0,0,157,3,0,1,1,-1.8,92.893,-46.2,1.334,5099.1
47,2,1,6,0,0,0,2,108,1,0,0,0,1.4,93.918,-42.7,4.961,5228.1
35,3,1,2,1,1,0,0,784,1,0,0,0,1.1,93.994,-36.4,4.859,5191.0
37,1,2,3,0,1,0,2,684,1,0,0,0,1.4,93.918,-42.7,4.957,5228.1
33,4,0,4,0,1,0,0,638,2,0,0,0,-1.8,92.893,-46.2,1.244,5099.1
30,2,0,1,0,1,0,0,434,4,0,0,0,1.1,93.994,-36.4,4.857,5191.0
43,4,0,4,0,0,0,0,96,3,0,0,0,1.1,93.994,-36.4,4.856,5191.0
34,1,0,1,0,0,0,5,89,3,0,1,1,-0.1,93.2,-42.0,4.12,5195.8
59,2,2,1,0,1,0,2,86,3,0,0,0,1.4,93.918,-42.7,4.962,5228.1
34,2,0,1,0,0,0,0,350,2,0,1,1,-1.8,92.893,-46.2,1.334,5099.1
48,4,0,4,0,0,1,2,266,5,0,0,0,1.4,93.918,-42.7,4.963,5228.1
29,3,2,1,0,1,0,0,144,1,0,1,1,-1.8,92.893,-46.2,1.25,5099.1
36,2,1,3,0,1,1,8,173,1,0,0,0,-1.8,93.749,-34.6,0.644,5008.7
57,5,0,2,0,0,0,0,100,3,0,1,1,-1.8,92.893,-46.2,1.266,5099.1
29,10,1,6,0,1,0,8,738,2,0,0,0,-1.8,93.075,-47.1,1.405,5099.1
34,4,0,1,0,0,0,0,347,1,0,1,1,-1.8,92.893,-46.2,1.299,5099.1
57,4,0,3,0,1,0,0,68,1,0,0,0,1.1,93.994,-36.4,4.856,5191.0
41,2,2,1,0,0,0,2,126,3,0,0,0,1.4,93.918,-42.7,4.961,5228.1
46,0,0,0,0,1,0,3,195,1,0,0,0,1.4,93.444,-36.1,4.964,5228.1
34,2,0,6,0,1,0,1,22,5,0,0,0,1.4,94.465,-41.8,4.959,5228.1
35,3,0,3,0,1,0,1,170,3,0,0,0,1.4,94.465,-41.8,4.864,5228.1
50,8,0,5,0,2,2,2,506,2,0,0,0,-2.9,92.469,-33.6,0.914,5076.2
48,2,1,6,0,1,0,3,118,1,6,2,2,-1.7,94.027,-38.3,0.9,4991.6
38,10,0,3,0,0,0,0,120,1,0,0,0,1.1,93.994,-36.4,4.856,5191.0
29,2,1,6,0,0,1,2,582,2,0,0,0,1.4,93.918,-42.7,4.958,5228.1
31,0,0,1,0,1,0,2,126,6,0,0,0,1.4,93.918,-42.7,4.962,5228.1
57,2,0,6,0,1,0,0,213,4,0,0,0,1.1,93.994,-36.4,4.86,5191.0
28,2,0,1,0,0,1,0,386,4,0,0,0,-1.8,92.893,-46.2,1.266,5099.1
70,5,2,0,0,0,0,2,390,2,1,2,2,-1.7,94.215,-40.3,0.846,4991.6
31,4,1,4,0,1,0,3,151,3,0,0,0,1.4,93.444,-36.1,4.963,5228.1
24,4,2,4,0,1,0,8,107,1,0,1,1,-1.8,93.075,-47.1,1.405,5099.1
43,3,0,0,1,1,1,1,204,1,0,0,0,1.4,94.465,-41.8,4.959,5228.1
53,6,2,1,0,0,0,2,121,2,0,0,0,1.4,93.918,-42.7,4.962,5228.1
32,4,0,3,1,0,0,1,52,5,0,0,0,1.4,94.465,-41.8,4.958,5228.1
35,6,0,6,0,1,0,5,130,3,0,0,0,-0.1,93.2,-42.0,4.12,5195.8
58,2,0,1,0,1,0,2,214,4,0,2,1,-1.7,94.215,-40.3,0.81,4991.6
41,0,2,6,0,0,0,5,105,2,0,1,1,-0.1,93.2,-42.0,4.12,5195.8
25,6,0,6,0,0,0,0,506,2,0,0,0,-1.8,92.893,-46.2,1.266,5099.1
41,7,0,4,0,1,0,0,33,5,0,0,0,-1.8,92.893,-46.2,1.244,5099.1
30,4,1,4,0,2,2,9,808,1,13,2,1,-1.1,94.199,-37.5,0.877,4963.6
30,2,1,6,0,0,0,2,212,1,3,2,2,-1.7,94.215,-40.3,0.797,4991.6
37,10,0,2,0,0,0,0,85,1,0,0,0,1.1,93.994,-36.4,4.857,5191.0
26,2,1,6,0,1,0,3,215,1,0,1,1,-2.9,92.201,-31.4,0.859,5076.2
27,1,0,1,0,1,0,2,250,3,0,0,0,1.4,93.918,-42.7,4.962,5228.1
30,2,1,1,0,1,0,0,195,3,0,1,1,-1.8,92.893,-46.2,1.25,5099.1
28,3,0,3,0,0,1,0,329,1,0,0,0,1.1,93.994,-36.4,4.858,5191.0
28,1,0,5,0,0,0,0,408,2,0,0,0,1.1,93.994,-36.4,4.857,5191.0
31,4,0,6,0,1,1,4,203,4,1,2,2,-1.1,94.601,-49.5,0.982,4963.6
46,8,0,0,0,0,1,3,239,1,0,0,0,1.4,93.444,-36.1,4.968,5228.1
46,0,0,0,0,2,2,3,154,2,0,0,0,-2.9,92.201,-31.4,0.829,5076.2
31,2,0,1,0,0,0,0,469,3,0,0,0,1.1,93.994,-36.4,4.857,5191.0
39,6,0,5,0,0,0,5,352,1,0,0,0,-0.1,93.2,-42.0,4.076,5195.8
57,4,0,4,0,1,0,5,42,1,0,0,0,-0.1,93.2,-42.0,4.021,5195.8
56,2,2,2,1,0,0,2,70,3,0,0,0,1.4,93.918,-42.7,4.962,5228.1
45,3,0,3,0,0,0,0,159,3,0,0,0,1.1,93.994,-36.4,4.857,5191.0
41,7,0,6,1,0,0,0,729,2,0,0,0,1.1,93.994,-36.4,4.857,5191.0
36,7,0,1,0,0,0,4,130,2,0,0,0,-3.4,92.431,-26.9,0.74,5017.5
32,4,1,6,0,0,0,8,59,3,0,0,0,-1.8,93.075,-47.1,1.445,5099.1
39,3,0,3,0,1,0,2,113,6,0,0,0,1.4,93.918,-42.7,4.957,5228.1
33,3,0,3,1,1,0,2,164,1,0,0,0,1.4,93.918,-42.7,4.957,5228.1
56,3,0,3,0,0,0,0,369,1,0,0,0,-1.8,92.893,-46.2,1.327,5099.1
57,4,0,1,0,0,1,0,371,1,0,1,1,-1.8,92.893,-46.2,1.299,5099.1
35,10,0,1,0,0,0,0,178,2,0,0,0,1.1,93.994,-36.4,4.857,5191.0
51,4,2,1,0,1,0,5,81,1,0,0,0,-0.1,93.2,-42.0,4.191,5195.8
39,10,0,6,1,1,0,0,98,1,0,1,1,-1.8,92.893,-46.2,1.244,5099.1
31,4,1,4,0,0,0,3,196,10,0,0,0,1.4,93.444,-36.1,4.965,5228.1
43,4,0,4,0,1,0,0,747,3,0,0,0,1.1,93.994,-36.4,4.859,5191.0
36,3,1,1,0,0,0,2,172,2,0,0,0,1.4,93.918,-42.7,4.963,5228.1
29,1,1,4,0,0,1,0,305,2,0,0,0,1.1,93.994,-36.4,4.857,5191.0
41,2,0,6,0,0,0,3,766,2,0,0,0,1.4,93.444,-36.1,4.968,5228.1
65,5,0,3,0,0,0,1,579,1,0,0,0,-2.9,92.963,-40.8,1.266,5076.2
33,3,0,3,0,0,1,5,200,1,0,0,0,-0.1,93.2,-42.0,4.076,5195.8
30,2,0,6,0,0,0,8,90,1,0,0,0,-1.8,93.075,-47.1,1.483,5099.1
70,2,0,0,0,1,1,9,91,1,3,1,2,-3.4,92.379,-29.8,0.77,5017.5
29,2,0,6,0,1,0,0,212,1,0,0,0,-1.8,92.893,-46.2,1.266,5099.1
35,2,1,1,0,1,1,3,107,4,12,3,2,-2.9,92.201,-31.4,0.884,5076.2
23,2,0,1,0,1,0,0,390,2,0,0,0,1.1,93.994,-36.4,4.864,5191.0
39,4,2,6,0,0,0,2,179,2,0,0,0,1.4,93.918,-42.7,4.962,5228.1
36,2,0,1,0,0,0,0,369,1,0,0,0,1.1,93.994,-36.4,4.856,5191.0
35,8,0,6,0,1,0,2,628,1,0,0,0,1.4,93.918,-42.7,4.958,5228.1
38,1,0,1,0,0,0,2,81,1,0,0,0,1.4,93.918,-42.7,4.968,5228.1
38,6,1,6,0,1,0,5,262,3,0,0,0,-0.1,93.2,-42.0,4.076,5195.8
37,10,0,3,0,2,2,2,268,2,0,0,0,1.4,93.918,-42.7,4.962,5228.1
43,3,0,2,0,1,0,8,160,2,0,0,0,-1.8,93.075,-47.1,1.405,5099.1
33,10,0,2,0,1,0,2,168,7,0,0,0,1.4,93.918,-42.7,4.957,5228.1
46,2,2,1,0,0,0,0,84,1,0,0,0,-1.8,92.893,-46.2,1.344,5099.1
43,2,1,6,0,0,0,5,507,2,0,0,0,-0.1,93.2,-42.0,4.191,5195.8
43,2,0,1,0,1,0,0,91,2,0,0,0,1.1,93.994,-36.4,4.856,5191.0
40,2,0,6,0,0,0,3,139,1,0,0,0,1.4,93.444,-36.1,4.966,5228.1
37,2,0,6,1,1,0,2,35,1,0,0,0,1.4,93.918,-42.7,4.962,5228.1
31,1,1,1,0,0,0,5,151,1,0,0,0,-0.1,93.2,-42.0,4.076,5195.8
36,3,0,2,1,0,0,0,54,1,0,2,1,-1.8,92.893,-46.2,1.334,5099.1
40,3,0,0,1,0,0,0,144,5,0,0,0,1.1,93.994,-36.4,4.86,5191.0
50,2,0,2,0,0,0,0,61,1,0,0,0,1.1,93.994,-36.4,4.857,5191.0
35,3,1,3,1,1,0,8,109,3,0,0,0,-1.8,93.075,-47.1,1.405,5099.1
41,2,0,6,0,0,0,8,463,1,0,0,0,-1.8,93.075,-47.1,1.453,5099.1
35,2,0,6,0,1,0,3,252,5,0,0,0,1.4,93.444,-36.1,4.967,5228.1
19,11,1,5,0,1,0,8,205,1,0,1,1,-1.8,93.075,-47.1,1.405,5099.1
40,8,0,3,0,1,1,8,64,4,0,0,0,-1.8,93.075,-47.1,1.405,5099.1
40,3,1,5,1,1,0,1,8,7,0,0,0,1.4,94.465,-41.8,4.959,5228.1
30,3,1,3,1,0,0,1,420,4,0,0,0,1.4,94.465,-41.8,4.866,5228.1
38,10,2,6,0,1,0,5,252,1,0,0,0,-0.1,93.2,-42.0,4.076,5195.8
