duration,poutcome,emp.var.rate,euribor3m,nr.employed,y_n
304.0,2.0,-2.9,1.268,5076.2,1
156.0,0.0,1.4,4.966,5228.1,0
511.0,0.0,1.4,4.964,5228.1,0
353.0,0.0,1.1,4.856,5191.0,0
117.0,0.0,-1.8,1.406,5099.1,0
122.0,0.0,1.4,4.968,5228.1,0
156.0,0.0,1.4,4.964,5228.1,0
79.0,0.0,-1.8,1.41,5099.1,0
420.0,0.0,1.4,4.962,5228.1,0
330.0,2.0,-1.1,1.025,4963.6,1
123.0,0.0,1.1,4.857,5191.0,0
419.0,0.0,1.4,4.963,5228.1,0
302.0,2.0,-1.8,1.281,5099.1,1
691.0,1.0,-1.1,0.959,4963.6,0
45.0,0.0,1.4,4.957,5228.1,0
75.0,0.0,1.4,4.961,5228.1,0
85.0,0.0,1.4,4.963,5228.1,0
472.0,1.0,-1.8,1.291,5099.1,0
178.0,0.0,1.1,4.856,5191.0,0
247.0,0.0,1.1,4.856,5191.0,0
110.0,0.0,-1.8,0.682,5008.7,0
291.0,0.0,-1.8,0.692,5008.7,1
378.0,0.0,-1.8,1.344,5099.1,0
135.0,0.0,-0.1,4.12,5195.8,0
239.0,0.0,1.4,4.964,5228.1,0
155.0,0.0,1.4,4.964,5228.1,0
317.0,2.0,-1.8,0.682,5008.7,1
123.0,0.0,1.4,4.958,5228.1,0
448.0,0.0,1.4,4.96,5228.1,0
86.0,0.0,-1.8,1.344,5099.1,0
122.0,0.0,1.1,4.855,5191.0,0
182.0,1.0,-1.8,1.266,5099.1,0
126.0,0.0,1.4,4.962,5228.1,0
215.0,0.0,-2.9,1.266,5076.2,1
399.0,0.0,1.1,4.86,5191.0,0
290.0,0.0,1.4,4.962,5228.1,0
172.0,0.0,-1.8,1.334,5099.1,0
86.0,0.0,1.4,4.963,5228.1,0
667.0,0.0,1.4,4.965,5228.1,0
225.0,0.0,1.4,4.958,5228.1,0
146.0,0.0,-3.4,0.743,5017.5,1
176.0,0.0,-1.8,0.642,5008.7,1
216.0,0.0,-2.9,1.26,5076.2,0
61.0,0.0,1.4,4.864,5228.1,0
121.0,0.0,1.4,4.864,5228.1,0
195.0,0.0,1.1,4.857,5191.0,0
134.0,0.0,1.4,4.965,5228.1,0
70.0,0.0,1.4,4.964,5228.1,0
448.0,0.0,1.4,4.962,5228.1,0
88.0,0.0,1.4,4.964,5228.1,0
972.0,0.0,-0.1,4.076,5195.8,0
242.0,0.0,1.4,4.963,5228.1,0
89.0,0.0,-1.8,1.313,5099.1,0
152.0,0.0,-1.8,1.365,5099.1,0
549.0,2.0,-1.8,1.291,5099.1,1
298.0,0.0,-1.8,1.344,5099.1,0
215.0,0.0,1.4,4.865,5228.1,0
83.0,0.0,1.4,4.963,5228.1,0
150.0,0.0,-1.8,1.405,5099.1,0
47.0,0.0,1.4,4.866,5228.1,0
136.0,0.0,1.1,4.855,5191.0,0
136.0,0.0,1.4,4.964,5228.1,0
29.0,0.0,1.4,4.967,5228.1,0
163.0,0.0,1.4,4.965,5228.1,0
45.0,0.0,1.4,4.955,5228.1,0
94.0,0.0,1.1,4.856,5191.0,0
67.0,0.0,1.4,4.965,5228.1,0
166.0,1.0,-1.8,1.291,5099.1,0
226.0,0.0,1.4,4.96,5228.1,0
812.0,0.0,1.1,4.857,5191.0,0
117.0,0.0,1.4,4.955,5228.1,0
133.0,0.0,1.1,4.857,5191.0,0
328.0,0.0,-0.1,4.12,5195.8,0
216.0,0.0,1.4,4.961,5228.1,0
656.0,0.0,-1.8,1.313,5099.1,1
375.0,0.0,1.4,4.959,5228.1,0
132.0,1.0,-1.8,1.266,5099.1,0
104.0,1.0,-0.1,4.021,5195.8,0
125.0,0.0,1.1,4.857,5191.0,0
144.0,0.0,1.4,4.962,5228.1,0
105.0,0.0,1.1,4.855,5191.0,0
470.0,0.0,1.1,4.857,5191.0,0
89.0,1.0,-1.8,1.27,5099.1,0
238.0,0.0,-2.9,1.215,5076.2,0
479.0,0.0,1.4,4.865,5228.1,0
400.0,0.0,-1.8,1.405,5099.1,1
37.0,0.0,-0.1,4.076,5195.8,0
599.0,0.0,1.4,4.961,5228.1,0
199.0,0.0,1.4,4.962,5228.1,0
900.0,0.0,1.1,4.86,5191.0,1
172.0,1.0,-2.9,1.262,5076.2,0
117.0,0.0,1.4,4.964,5228.1,0
221.0,0.0,1.4,4.96,5228.1,0
49.0,0.0,1.4,4.959,5228.1,0
817.0,0.0,1.4,4.866,5228.1,1
196.0,0.0,1.4,4.968,5228.1,0
89.0,0.0,1.1,4.859,5191.0,0
187.0,1.0,-1.8,1.334,5099.1,0
31.0,0.0,1.4,4.963,5228.1,0
161.0,0.0,1.4,4.966,5228.1,0
438.0,0.0,1.4,4.962,5228.1,0
264.0,0.0,1.1,4.857,5191.0,0
208.0,1.0,-1.8,1.327,5099.1,0
241.0,0.0,1.4,4.968,5228.1,0
1692.0,0.0,1.1,4.855,5191.0,1
155.0,0.0,1.1,4.856,5191.0,0
873.0,0.0,1.4,4.962,5228.1,1
368.0,0.0,-1.8,1.365,5099.1,1
729.0,0.0,1.4,4.963,5228.1,0
98.0,0.0,-1.8,1.344,5099.1,0
102.0,0.0,1.1,4.86,5191.0,0
173.0,0.0,1.1,4.858,5191.0,0
212.0,0.0,1.1,4.857,5191.0,0
157.0,1.0,-1.8,1.334,5099.1,0
108.0,0.0,1.4,4.961,5228.1,0
784.0,0.0,1.1,4.859,5191.0,0
684.0,0.0,1.4,4.957,5228.1,0
638.0,0.0,-1.8,1.244,5099.1,1
434.0,0.0,1.1,4.857,5191.0,0
96.0,0.0,1.1,4.856,5191.0,0
89.0,1.0,-0.1,4.12,5195.8,0
86.0,0.0,1.4,4.962,5228.1,0
350.0,1.0,-1.8,1.334,5099.1,0
266.0,0.0,1.4,4.963,5228.1,0
144.0,1.0,-1.8,1.25,5099.1,0
173.0,0.0,-1.8,0.644,5008.7,1
100.0,1.0,-1.8,1.266,5099.1,0
738.0,0.0,-1.8,1.405,5099.1,0
347.0,1.0,-1.8,1.299,5099.1,0
68.0,0.0,1.1,4.856,5191.0,0
126.0,0.0,1.4,4.961,5228.1,0
195.0,0.0,1.4,4.964,5228.1,0
22.0,0.0,1.4,4.959,5228.1,0
170.0,0.0,1.4,4.864,5228.1,0
506.0,0.0,-2.9,0.914,5076.2,0
118.0,2.0,-1.7,0.9,4991.6,1
120.0,0.0,1.1,4.856,5191.0,0
582.0,0.0,1.4,4.958,5228.1,1
126.0,0.0,1.4,4.962,5228.1,0
213.0,0.0,1.1,4.86,5191.0,0
386.0,0.0,-1.8,1.266,5099.1,0
390.0,2.0,-1.7,0.846,4991.6,1
151.0,0.0,1.4,4.963,5228.1,0
107.0,1.0,-1.8,1.405,5099.1,0
204.0,0.0,1.4,4.959,5228.1,0
121.0,0.0,1.4,4.962,5228.1,0
52.0,0.0,1.4,4.958,5228.1,0
130.0,0.0,-0.1,4.12,5195.8,0
214.0,1.0,-1.7,0.81,4991.6,0
105.0,1.0,-0.1,4.12,5195.8,0
506.0,0.0,-1.8,1.266,5099.1,0
33.0,0.0,-1.8,1.244,5099.1,0
808.0,1.0,-1.1,0.877,4963.6,1
212.0,2.0,-1.7,0.797,4991.6,0
85.0,0.0,1.1,4.857,5191.0,0
215.0,1.0,-2.9,0.859,5076.2,1
250.0,0.0,1.4,4.962,5228.1,0
195.0,1.0,-1.8,1.25,5099.1,0
329.0,0.0,1.1,4.858,5191.0,0
408.0,0.0,1.1,4.857,5191.0,0
203.0,2.0,-1.1,0.982,4963.6,1
239.0,0.0,1.4,4.968,5228.1,0
154.0,0.0,-2.9,0.829,5076.2,0
469.0,0.0,1.1,4.857,5191.0,0
352.0,0.0,-0.1,4.076,5195.8,0
42.0,0.0,-0.1,4.021,5195.8,0
70.0,0.0,1.4,4.962,5228.1,0
159.0,0.0,1.1,4.857,5191.0,0
729.0,0.0,1.1,4.857,5191.0,0
130.0,0.0,-3.4,0.74,5017.5,0
59.0,0.0,-1.8,1.445,5099.1,0
113.0,0.0,1.4,4.957,5228.1,0
164.0,0.0,1.4,4.957,5228.1,0
369.0,0.0,-1.8,1.327,5099.1,0
371.0,1.0,-1.8,1.299,5099.1,0
178.0,0.0,1.1,4.857,5191.0,0
81.0,0.0,-0.1,4.191,5195.8,0
98.0,1.0,-1.8,1.244,5099.1,0
196.0,0.0,1.4,4.965,5228.1,0
747.0,0.0,1.1,4.859,5191.0,0
172.0,0.0,1.4,4.963,5228.1,0
305.0,0.0,1.1,4.857,5191.0,0
766.0,0.0,1.4,4.968,5228.1,1
579.0,0.0,-2.9,1.266,5076.2,1
200.0,0.0,-0.1,4.076,5195.8,0
90.0,0.0,-1.8,1.483,5099.1,0
91.0,2.0,-3.4,0.77,5017.5,1
212.0,0.0,-1.8,1.266,5099.1,0
107.0,2.0,-2.9,0.884,5076.2,0
390.0,0.0,1.1,4.864,5191.0,0
179.0,0.0,1.4,4.962,5228.1,0
369.0,0.0,1.1,4.856,5191.0,0
628.0,0.0,1.4,4.958,5228.1,0
81.0,0.0,1.4,4.968,5228.1,0
262.0,0.0,-0.1,4.076,5195.8,0
268.0,0.0,1.4,4.962,5228.1,0
160.0,0.0,-1.8,1.405,5099.1,0
168.0,0.0,1.4,4.957,5228.1,0
84.0,0.0,-1.8,1.344,5099.1,0
507.0,0.0,-0.1,4.191,5195.8,0
91.0,0.0,1.1,4.856,5191.0,0
139.0,0.0,1.4,4.966,5228.1,0
35.0,0.0,1.4,4.962,5228.1,0
151.0,0.0,-0.1,4.076,5195.8,0
54.0,1.0,-1.8,1.334,5099.1,0
144.0,0.0,1.1,4.86,5191.0,0
61.0,0.0,1.1,4.857,5191.0,0
109.0,0.0,-1.8,1.405,5099.1,0
463.0,0.0,-1.8,1.453,5099.1,1
252.0,0.0,1.4,4.967,5228.1,0
205.0,1.0,-1.8,1.405,5099.1,1
64.0,0.0,-1.8,1.405,5099.1,0
8.0,0.0,1.4,4.959,5228.1,0
420.0,0.0,1.4,4.866,5228.1,0
252.0,0.0,-0.1,4.076,5195.8,0
88.0,0.0,1.1,4.857,5191.0,0
65.0,0.0,1.4,4.864,5228.1,0
96.0,0.0,-1.8,1.299,5099.1,0
44.0,0.0,1.4,4.961,5228.1,0
111.0,0.0,1.4,4.964,5228.1,0
451.0,1.0,-1.8,1.291,5099.1,0
182.0,0.0,1.4,4.97,5228.1,0
665.0,0.0,1.1,4.855,5191.0,1
148.0,0.0,-3.4,0.741,5017.5,0
42.0,0.0,1.1,4.86,5191.0,0
102.0,0.0,1.1,4.857,5191.0,0
57.0,0.0,1.4,4.96,5228.1,0
126.0,0.0,1.4,4.865,5228.1,0
113.0,0.0,-1.8,1.266,5099.1,0
88.0,0.0,1.1,4.858,5191.0,0
108.0,0.0,1.4,4.968,5228.1,0
109.0,0.0,-3.4,0.739,5017.5,0
119.0,0.0,1.4,4.961,5228.1,0
36.0,0.0,1.4,4.967,5228.1,0
799.0,0.0,1.4,4.963,5228.1,0
80.0,1.0,-1.8,1.291,5099.1,0
392.0,2.0,-1.8,1.354,5099.1,1
114.0,0.0,-1.8,1.291,5099.1,0
25.0,0.0,-1.8,1.281,5099.1,0
194.0,0.0,-0.1,4.12,5195.8,0
123.0,0.0,-2.9,1.029,5076.2,0
188.0,0.0,1.4,4.961,5228.1,0
58.0,0.0,1.4,4.964,5228.1,0
365.0,0.0,-1.8,1.264,5099.1,0
336.0,0.0,1.1,4.857,5191.0,0
236.0,0.0,-1.8,1.405,5099.1,0
81.0,0.0,-1.8,1.392,5099.1,0
215.0,0.0,-0.1,4.153,5195.8,0
312.0,0.0,-1.8,0.685,5008.7,0
130.0,0.0,1.1,4.856,5191.0,0
156.0,1.0,-1.8,1.405,5099.1,0
91.0,1.0,-1.8,1.327,5099.1,0
131.0,0.0,1.1,4.855,5191.0,0
221.0,0.0,-1.8,1.25,5099.1,0
169.0,0.0,1.4,4.961,5228.1,0
389.0,1.0,-0.1,4.153,5195.8,0
8.0,0.0,-1.8,1.25,5099.1,0
242.0,0.0,-1.8,1.25,5099.1,0
124.0,0.0,1.4,4.962,5228.1,0
210.0,0.0,1.1,4.857,5191.0,0
1071.0,0.0,1.4,4.962,5228.1,1
51.0,0.0,-0.1,4.153,5195.8,0
53.0,0.0,-0.1,4.076,5195.8,0
437.0,1.0,-1.8,1.327,5099.1,0
224.0,1.0,-1.1,0.879,4963.6,1
254.0,0.0,1.4,4.962,5228.1,0
13.0,0.0,1.1,4.858,5191.0,0
207.0,0.0,1.1,4.86,5191.0,0
189.0,0.0,1.1,4.857,5191.0,0
207.0,0.0,1.4,4.961,5228.1,0
95.0,0.0,1.4,4.967,5228.1,0
153.0,0.0,1.1,4.859,5191.0,0
183.0,0.0,1.4,4.963,5228.1,0
164.0,0.0,-3.4,0.722,5017.5,1
68.0,1.0,-1.8,1.291,5099.1,0
120.0,1.0,-1.8,1.445,5099.1,0
169.0,1.0,-1.8,1.266,5099.1,0
156.0,0.0,1.1,4.855,5191.0,0
642.0,0.0,-1.8,1.25,5099.1,0
185.0,0.0,1.1,4.855,5191.0,0
99.0,0.0,1.1,4.855,5191.0,0
95.0,0.0,1.1,4.857,5191.0,0
188.0,0.0,1.4,4.966,5228.1,0
172.0,0.0,1.4,4.963,5228.1,0
65.0,0.0,-3.4,0.755,5017.5,1
124.0,1.0,-0.1,4.191,5195.8,0
208.0,0.0,1.1,4.857,5191.0,0
191.0,0.0,-1.8,1.406,5099.1,0
132.0,0.0,-2.9,0.908,5076.2,0
59.0,0.0,-0.1,4.12,5195.8,0
81.0,0.0,1.4,4.864,5228.1,0
205.0,0.0,1.1,4.855,5191.0,0
185.0,1.0,-1.8,1.344,5099.1,0
177.0,0.0,1.4,4.961,5228.1,0
258.0,0.0,-2.9,0.908,5076.2,0
86.0,0.0,1.1,4.857,5191.0,0
264.0,0.0,1.4,4.963,5228.1,0
894.0,0.0,1.1,4.859,5191.0,1
245.0,0.0,1.1,4.856,5191.0,0
374.0,1.0,-1.8,1.291,5099.1,0
46.0,0.0,1.4,4.968,5228.1,0
954.0,0.0,-1.8,1.334,5099.1,1
354.0,0.0,1.1,4.858,5191.0,0
17.0,0.0,1.4,4.962,5228.1,0
109.0,0.0,1.1,4.86,5191.0,0
216.0,0.0,1.4,4.963,5228.1,0
114.0,0.0,1.4,4.961,5228.1,0
319.0,2.0,-2.9,0.873,5076.2,0
190.0,0.0,1.4,4.96,5228.1,0
164.0,0.0,-1.8,1.25,5099.1,0
243.0,0.0,-1.8,1.365,5099.1,0
193.0,0.0,1.4,4.963,5228.1,0
336.0,0.0,1.4,4.96,5228.1,0
241.0,1.0,-1.8,1.266,5099.1,0
263.0,2.0,-1.8,0.655,5008.7,1
184.0,0.0,1.4,4.959,5228.1,0
80.0,0.0,1.4,4.865,5228.1,0
352.0,0.0,1.1,4.855,5191.0,0
275.0,0.0,-1.8,1.291,5099.1,0
188.0,0.0,-1.8,1.27,5099.1,0
404.0,0.0,-1.8,1.281,5099.1,0
50.0,0.0,1.4,4.96,5228.1,0
73.0,0.0,-1.8,1.313,5099.1,0
191.0,0.0,-1.8,1.313,5099.1,0
223.0,0.0,-1.8,1.266,5099.1,0
333.0,0.0,1.4,4.959,5228.1,0
148.0,0.0,1.4,4.864,5228.1,0
65.0,0.0,1.1,4.857,5191.0,0
214.0,0.0,1.1,4.856,5191.0,0
235.0,0.0,-3.4,0.715,5017.5,0
222.0,0.0,-0.1,4.021,5195.8,0
647.0,1.0,-1.8,1.327,5099.1,1
95.0,0.0,-1.8,1.27,5099.1,0
117.0,0.0,1.4,4.968,5228.1,0
77.0,0.0,1.1,4.859,5191.0,0
44.0,0.0,1.1,4.856,5191.0,0
177.0,0.0,-1.8,1.334,5099.1,0
212.0,1.0,-1.1,1.05,4963.6,0
273.0,0.0,1.4,4.964,5228.1,0
606.0,0.0,-1.8,1.334,5099.1,1
83.0,0.0,1.1,4.858,5191.0,0
120.0,0.0,1.4,4.963,5228.1,0
217.0,0.0,1.4,4.965,5228.1,0
422.0,0.0,-1.8,1.423,5099.1,0
133.0,1.0,-3.4,0.715,5017.5,0
402.0,0.0,1.1,4.857,5191.0,0
181.0,0.0,-1.8,1.25,5099.1,0
83.0,1.0,-1.8,1.344,5099.1,0
210.0,0.0,1.1,4.857,5191.0,0
42.0,0.0,1.1,4.86,5191.0,0
16.0,0.0,-1.8,1.281,5099.1,0
318.0,0.0,-1.8,0.684,5008.7,0
157.0,0.0,-0.1,4.153,5195.8,0
67.0,0.0,1.4,4.961,5228.1,0
100.0,0.0,1.1,4.858,5191.0,0
350.0,0.0,1.1,4.858,5191.0,0
231.0,0.0,-0.1,4.12,5195.8,0
518.0,0.0,-1.8,1.405,5099.1,0
185.0,0.0,1.4,4.96,5228.1,0
43.0,0.0,1.4,4.959,5228.1,0
207.0,0.0,1.4,4.967,5228.1,0
164.0,0.0,1.4,4.864,5228.1,0
413.0,0.0,1.1,4.86,5191.0,0
72.0,0.0,1.4,4.962,5228.1,0
1721.0,0.0,1.4,4.968,5228.1,1
389.0,1.0,-1.8,1.415,5099.1,0
170.0,0.0,1.4,4.963,5228.1,0
129.0,0.0,1.1,4.864,5191.0,0
296.0,0.0,1.1,4.857,5191.0,0
104.0,0.0,1.1,4.86,5191.0,0
262.0,0.0,-1.8,1.291,5099.1,0
107.0,0.0,1.1,4.855,5191.0,0
39.0,0.0,1.1,4.855,5191.0,0
89.0,0.0,-0.1,4.191,5195.8,0
192.0,1.0,-1.8,0.677,5008.7,1
28.0,0.0,1.4,4.958,5228.1,0
118.0,0.0,1.1,4.856,5191.0,0
160.0,0.0,-1.8,1.334,5099.1,0
427.0,0.0,1.1,4.859,5191.0,0
354.0,0.0,1.4,4.865,5228.1,0
895.0,0.0,-1.8,1.453,5099.1,1
48.0,0.0,-1.8,1.479,5099.1,0
790.0,0.0,-0.1,4.076,5195.8,0
100.0,0.0,1.1,4.856,5191.0,0
97.0,0.0,1.4,4.961,5228.1,0
92.0,0.0,1.4,4.963,5228.1,0
126.0,0.0,1.1,4.864,5191.0,0
94.0,0.0,1.4,4.964,5228.1,0
1435.0,1.0,-0.1,4.12,5195.8,0
58.0,0.0,-1.8,1.244,5099.1,0
480.0,0.0,1.1,4.855,5191.0,0
64.0,0.0,1.4,4.964,5228.1,0
179.0,2.0,-2.9,1.262,5076.2,1
224.0,0.0,1.4,4.962,5228.1,0
128.0,0.0,-1.8,1.405,5099.1,0
405.0,0.0,-1.8,1.405,5099.1,0
298.0,0.0,1.1,4.855,5191.0,0
65.0,0.0,1.4,4.963,5228.1,0
232.0,0.0,1.1,4.857,5191.0,0
109.0,0.0,1.4,4.958,5228.1,0
562.0,0.0,-1.7,0.827,4991.6,1
81.0,0.0,-1.8,1.614,5099.1,0
493.0,0.0,1.4,4.959,5228.1,0
143.0,1.0,-1.1,0.879,4963.6,1
11.0,0.0,1.4,4.965,5228.1,0
74.0,0.0,1.4,4.963,5228.1,0
159.0,1.0,-3.4,0.75,5017.5,1
123.0,0.0,1.4,4.962,5228.1,0
13.0,0.0,1.4,4.959,5228.1,0
67.0,0.0,-1.8,1.299,5099.1,0
85.0,0.0,-3.4,0.715,5017.5,1
61.0,0.0,1.4,4.959,5228.1,0
137.0,1.0,-1.8,1.281,5099.1,0
163.0,1.0,-2.9,1.268,5076.2,1
245.0,0.0,1.1,4.856,5191.0,0
418.0,0.0,1.4,4.96,5228.1,0
177.0,0.0,1.4,4.96,5228.1,0
787.0,0.0,1.4,4.963,5228.1,0
205.0,0.0,-1.8,1.344,5099.1,0
275.0,0.0,1.4,4.965,5228.1,0
185.0,0.0,1.1,4.857,5191.0,0
89.0,0.0,1.4,4.962,5228.1,0
109.0,0.0,1.1,4.857,5191.0,0
58.0,0.0,1.1,4.864,5191.0,0
287.0,0.0,1.4,4.965,5228.1,0
75.0,0.0,1.4,4.96,5228.1,0
126.0,1.0,-1.8,1.25,5099.1,0
293.0,2.0,-1.8,1.334,5099.1,0
124.0,0.0,1.4,4.966,5228.1,0
142.0,0.0,1.4,4.968,5228.1,0
255.0,0.0,-1.8,1.266,5099.1,0
42.0,0.0,1.4,4.962,5228.1,0
24.0,0.0,1.4,4.961,5228.1,0
108.0,0.0,-0.1,4.12,5195.8,0
25.0,1.0,-1.8,1.291,5099.1,0
639.0,0.0,-1.8,1.244,5099.1,1
125.0,0.0,-1.8,1.41,5099.1,0
185.0,0.0,1.1,4.857,5191.0,0
71.0,0.0,-1.8,1.41,5099.1,0
37.0,0.0,-0.1,4.076,5195.8,0
121.0,0.0,1.4,4.96,5228.1,0
507.0,0.0,1.1,4.857,5191.0,0
272.0,2.0,-1.7,0.835,4991.6,1
207.0,0.0,-1.8,0.655,5008.7,1
84.0,0.0,1.4,4.958,5228.1,0
365.0,0.0,1.1,4.856,5191.0,0
305.0,0.0,-2.9,0.883,5076.2,0
101.0,0.0,-1.8,1.423,5099.1,0
145.0,0.0,1.1,4.856,5191.0,0
653.0,0.0,1.4,4.965,5228.1,0
478.0,0.0,-0.1,5.045,5195.8,1
170.0,1.0,-1.8,1.405,5099.1,0
102.0,0.0,1.1,4.859,5191.0,0
37.0,0.0,1.4,4.963,5228.1,0
148.0,1.0,-0.1,4.153,5195.8,0
193.0,0.0,-3.4,0.72,5017.5,0
553.0,0.0,1.1,4.857,5191.0,0
335.0,0.0,1.4,4.963,5228.1,0
126.0,0.0,1.1,4.856,5191.0,0
133.0,0.0,1.4,4.964,5228.1,0
290.0,0.0,1.4,4.962,5228.1,0
95.0,0.0,1.1,4.857,5191.0,0
79.0,0.0,1.4,4.97,5228.1,0
571.0,0.0,-1.8,1.365,5099.1,1
602.0,0.0,1.4,4.962,5228.1,0
11.0,2.0,-1.8,1.354,5099.1,0
149.0,0.0,1.1,4.857,5191.0,0
96.0,1.0,-0.1,4.021,5195.8,0
137.0,0.0,-1.8,1.41,5099.1,0
161.0,0.0,1.4,4.961,5228.1,0
559.0,0.0,1.4,4.962,5228.1,0
437.0,0.0,1.4,4.958,5228.1,0
80.0,0.0,-1.8,1.25,5099.1,0
189.0,0.0,-2.9,1.262,5076.2,0
323.0,0.0,1.4,4.866,5228.1,0
110.0,0.0,1.1,4.856,5191.0,0
310.0,0.0,1.4,4.962,5228.1,0
171.0,0.0,1.1,4.856,5191.0,0
155.0,0.0,-1.8,1.405,5099.1,0
94.0,0.0,1.4,4.964,5228.1,0
165.0,0.0,-0.1,4.076,5195.8,0
106.0,0.0,1.1,4.859,5191.0,0
477.0,0.0,1.1,4.857,5191.0,0
42.0,0.0,-1.8,1.405,5099.1,0
146.0,0.0,1.1,4.857,5191.0,0
33.0,0.0,1.4,4.96,5228.1,0
216.0,0.0,1.4,4.967,5228.1,0
92.0,1.0,-3.4,0.718,5017.5,0
339.0,0.0,1.4,4.962,5228.1,0
79.0,0.0,-0.1,4.153,5195.8,0
209.0,0.0,1.4,4.968,5228.1,0
634.0,0.0,1.4,4.959,5228.1,0
513.0,0.0,-3.4,0.737,5017.5,1
184.0,0.0,-1.8,1.365,5099.1,0
152.0,0.0,1.4,4.964,5228.1,0
30.0,0.0,-1.8,1.266,5099.1,0
43.0,0.0,1.4,4.962,5228.1,0
72.0,0.0,1.4,4.97,5228.1,0
90.0,0.0,-1.8,1.334,5099.1,0
157.0,0.0,1.4,4.96,5228.1,0
74.0,0.0,1.4,4.957,5228.1,0
100.0,0.0,-1.8,1.405,5099.1,0
531.0,0.0,-3.4,0.809,5017.5,0
336.0,2.0,-2.9,1.268,5076.2,0
877.0,0.0,-1.8,1.299,5099.1,1
554.0,0.0,-0.1,4.191,5195.8,0
81.0,0.0,1.4,4.962,5228.1,0
115.0,0.0,-0.1,4.12,5195.8,0
111.0,0.0,1.1,4.855,5191.0,0
331.0,0.0,1.1,4.857,5191.0,0
356.0,2.0,-1.8,0.683,5008.7,1
612.0,1.0,-1.8,1.405,5099.1,0
670.0,0.0,-0.1,4.021,5195.8,0
187.0,2.0,-1.8,0.635,5008.7,1
184.0,0.0,1.4,4.963,5228.1,0
99.0,0.0,-1.8,1.453,5099.1,0
100.0,0.0,1.1,4.864,5191.0,0
57.0,0.0,1.1,4.859,5191.0,0
318.0,0.0,-1.8,1.281,5099.1,0
162.0,0.0,1.4,4.961,5228.1,0
88.0,0.0,1.1,4.857,5191.0,0
143.0,0.0,1.4,4.965,5228.1,0
293.0,0.0,1.4,4.961,5228.1,0
1038.0,0.0,-1.8,1.415,5099.1,1
